Date_time,target,x1,x2,x3,x4,x5,x6,x7,x8,x9
2016/6/12 19:30,-0.023202486,0.268619418,0.573333323,13.44666672,-3.937994242,1.100000024,967,-3.79416275,32.96943283,33.3960228
2016/6/12 20:00,-0.023077259,0.267942667,1.083333373,13.36999989,-2.832100153,1.600000024,967.0999756,-2.650870562,33.00448227,33.37179947
2016/6/12 20:30,-0.022936257,0.267956197,1.436666727,12.98333359,-2.911282778,2.299999952,967.0999756,-2.622970819,32.98338318,33.34199142
2016/6/12 21:00,-0.022841314,0.26787138,1.343333364,12.57333374,-3.030842304,2.900000095,967.039978,-2.816338778,32.99255371,33.37348938
2016/6/12 21:30,-0.02287635,0.267853022,1.340000033,12.19666672,-3.15983057,2.400000095,967.1166382,-2.865496874,32.89217758,33.22502136
2016/6/12 22:00,-0.022771396,0.268021524,1.25666666,11.63666725,-2.836686134,2.700000048,967.043335,-2.609915018,32.87084198,33.21207809
2016/6/12 22:30,-0.022636745,0.269055694,2.343333244,11.64000034,-2.479803324,4.300000191,966.9333496,-2.291438103,32.86977005,33.13279343
2016/6/12 23:00,-0.022586886,0.270032287,1.75999999,11.5,-3.075228214,3.799999952,966.8099976,-2.890075684,32.77568817,33.03925705
2016/6/12 23:30,-0.022573195,0.270965099,2.143333435,11.14666653,-2.904227257,3.400000095,966.5799561,-2.658647299,32.70816422,32.96263885
2016/6/13 0:00,-0.022492195,0.27121672,1.936666608,10.61000061,-2.835627794,3.200000048,966.2433472,-2.60650897,32.72011566,32.93500137
2016/6/13 0:30,-0.022557812,0.271189153,1.026666641,10.19333363,-3.112109423,2.099999905,966.2000122,-2.836802244,32.44841385,32.52166367
2016/6/13 1:00,-0.022578796,0.271235615,0.689999998,9.75,-3.433169365,1.600000024,966.0999756,-3.244115591,32.36528397,32.33332062
2016/6/13 1:30,-0.02142996,0.270729423,0.456666678,8.300000191,-4.45596838,0.699999988,966.1966553,-4.442611217,31.72538376,31.76569557
2016/6/13 2:00,-0.022606745,0.271660686,0.629999995,7.066666603,-3.957461119,1,966.1799927,-3.800889492,31.55573845,31.5340004
2016/6/13 2:30,-0.022694575,0.271682858,0.780000031,7.099999905,-3.092161417,1.5,966,-3.054039717,31.5326767,31.49713326
2016/6/13 3:00,-0.022795221,0.271466196,1.129999995,7.400000095,-2.344272614,2.599999905,965.7766724,-2.301854372,31.77142906,31.70745277
2016/6/13 3:30,-0.02278675,0.272017509,1.269999981,7.693333149,-2.819079399,2.099999905,965.7999878,-2.759602785,31.91253281,31.84117508
2016/6/13 4:00,-0.022843877,0.270991713,1.679999948,7.840000153,-3.167720079,3.200000048,965.7166748,-2.951863766,31.93625259,31.86948395
2016/6/13 4:30,-0.022756737,0.270782858,1.313333392,6.933333397,-3.341062069,2.5,965.6033325,-3.035789967,31.81315422,31.76065636
2016/6/13 5:00,-0.022936443,0.270337701,1.176666617,6.159999847,-3.40991807,2.099999905,965.5933228,-3.22274375,31.60339165,31.57361412
2016/6/13 5:30,-0.022924941,0.269956619,1.346666694,6.023333549,-2.734925747,2.099999905,965.3033447,-2.578353882,31.55047607,31.51134109
2016/6/13 6:00,-0.023157939,0.268997818,1.643333316,5.983333588,-2.509917736,2.599999905,965.206665,-2.43411541,31.49469376,31.4570179
2016/6/13 6:30,-0.02308267,0.268542677,1.273333311,6.300000191,-2.626687288,2,965.4000244,-2.464456081,31.60275841,31.54689789
2016/6/13 7:00,-0.023211153,0.267903298,1.460000038,6.066666603,-3.001208782,2.5,965.9833374,-2.774389744,31.54558372,31.49324608
2016/6/13 7:30,-0.02033006,0.260496646,0.639999986,5.360000134,-0.130335346,1.100000024,966.3633423,0.042147592,31.23434067,31.22673225
2016/6/13 8:00,1.940489531,2.935274601,0.889999986,5.690000057,56.38867569,2,966.6199951,94.96408081,31.45713043,31.28136253
2016/6/13 8:30,7.761601925,11.64763641,2.123333216,7.843333244,151.2044067,3.599999905,966.9000244,214.1036682,33.93329239,32.28813553
2016/6/13 9:00,13.16190243,19.67451477,1.793333292,10.33666611,251.3261108,3.700000048,967.1900024,333.2570801,36.54130173,33.21957779
2016/6/13 9:30,18.0165062,26.90064049,2.273333311,11.81000042,348.965271,5,967.3366699,449.0860596,35.00595474,34.00504684
2016/6/13 10:00,22.21413231,33.24489594,2.383333206,13.53666687,436.157959,4.699999809,967.5799561,553.6989746,41.34003448,35.01569748
2016/6/13 10:30,25.63403511,38.34423828,2.849999905,14.57333374,514.0386353,5.300000191,967.5766602,645.1973877,43.16782379,43.01210403
2016/6/13 11:00,28.56531334,42.68352509,3.413333416,15.64999962,581.8942871,8.100000381,967.206665,724.9534302,44.98877335,46.16817093
2016/6/13 11:30,30.64856148,45.79730606,2.786666632,16,636.1190186,4.699999809,966.9433594,789.4057007,46.77612305,47.84497833
2016/6/13 12:00,32.11481476,48.10295868,3.279999971,16.68000031,670.2756958,5.599999905,966.4933472,833.30896,48.388134,50.28974152
2016/6/13 12:30,32.76016998,49.06522369,3.316666603,17.11333466,687.5234985,5.900000095,965.876709,860.3071899,50.93792343,52.83668518
2016/6/13 13:00,32.67329788,48.88314819,3.039999962,17.94666672,687.7786255,6.599999905,965.4000244,866.0563965,49.26419067,52.26517868
2016/6/13 13:30,31.80527687,47.52122116,2.726666689,18.75333405,674.2501831,4.800000191,964.6866455,855.5270386,52.34087372,54.42566299
2016/6/13 14:00,30.40248489,45.51555634,2.910000086,19.11000061,644.3625488,5.599999905,964.0966187,826.6195679,52.46751404,54.19667053
2016/6/13 14:30,28.4582119,42.62862396,3.086666822,19.63666725,597.4202271,6,963.6300049,778.1050415,51.98972702,53.82051849
2016/6/13 15:00,25.83874702,38.77495193,2.736666679,20.06999969,533.9550171,5.5,963.2033691,710.1939087,49.41306305,51.88035202
2016/6/13 15:30,22.47551918,33.66396332,2.710000038,20.12666702,460.1506348,4.599999905,963,628.7618408,47.32959366,48.9344101
